RUT;DV;NAC_DIA;NAC_MES;NAC_ANHO;NOMBRE;PATERNO;MATERNO;CALLE;NRO;COMUNA;EVEN_DIA;EVE_MES;EVE_ANHO;NOMBRE_ARTÍSTICO;ESTILO
20858256;5;4;7;1983;Foo Fighters;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Foo Fighters;Rock alternativo
18892568;7;1;10;1989;Martin Garrix ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Martin Garrix ;rap
17513725;8;11;2;1995;Jane’s Addiction ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Jane’s Addiction ;electro-house
21433776;5;29;8;1997;Justin Quiles ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Justin Quiles ;punk rock
18569204;3;29;10;1990;Idles ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Idles ;electro-house
23893908;7;28;5;1981;Cultura Profética ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Cultura Profética ;metal
22480822;3;14;6;1999;Kaytranada ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Kaytranada ;Rock alternativo
19978086;4;26;3;1996;Jhay Cortez ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Jhay Cortez ;electropop
19821850;2;17;4;2002;Phoebe Bridgers ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Phoebe Bridgers ;Rock alternativo
15205840;8;30;6;2001;Alexisonfire ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Alexisonfire ;electropop
19291702;7;23;3;2002;Alessia Cara ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Alessia Cara ;rap
19938173;5;31;10;1983;Remi Wolf ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Remi Wolf ;indie rock
21729249;2;24;1;2004;The Wombats ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;The Wombats ;punk rock
13621526;6;23;1;1984;Fernando Milagros ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Fernando Milagros ;punk rock
21341343;1;30;7;2008;Pablo Vittar ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Pablo Vittar ;electropop
13580912;8;5;10;1991;Trueno ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Trueno ;rap
15274893;1;11;3;1984;Marky Ramone ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Marky Ramone ;metal
21842550;5;13;4;2005;Channel Tres ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Channel Tres ;electro-house
15301348;8;2;12;1996;Totó La Momposina ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Totó La Momposina ;punk rock
21899460;7;13;6;1986;Saiko ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Saiko ;indie rock
23641966;6;2;12;2006;Camila Moreno ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Camila Moreno ;electro-house
18125592;4;26;6;1980;Natanael Cano ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Natanael Cano ;Rock alternativo
21842069;3;13;11;1987;Polima Westcoast & Galee Galee ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Polima Westcoast & Galee Galee ;Rock alternativo
22481924;7;16;6;1989;Francisco Victoria ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Francisco Victoria ;rap
14089558;8;16;2;2005;Kiddtetoon ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Kiddtetoon ;Rock alternativo
13760510;1;14;3;2009;Paula Cendejas ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Paula Cendejas ;punk rock
24017142;8;11;6;1980;Flor de Rap ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Flor de Rap ;indie rock
24119015;9;3;9;1994;Harry Nach ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Harry Nach ;rap
19252955;5;25;8;2004;Rootz Hi-Fi ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Rootz Hi-Fi ;rap
22487952;1;14;4;1983;Dulce y Agraz ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Dulce y Agraz ;Rock alternativo
21166003;3;7;4;1999;Delic ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Delic ;Rock alternativo
17351844;5;30;7;2006;The Alive ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;The Alive ;rap
20661758;1;22;7;1990;Bocho ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Bocho ;indie rock
19879951;8;14;3;2002;Temple Agents ;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Temple Agents ;electropop
16367998;1;10;9;1988;Antónima;;;Parque Bicentenario;0;CERRILLOS;18;3;2022;Antónima;punk rock
16692101;3;4;7;1990;Alesso ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Alesso ;electropop
15827732;5;27;8;1994;Asap Rocky ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Asap Rocky ;Rock alternativo
21144124;9;10;12;2004;Miley Cyrus ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Miley Cyrus ;rap
22823728;8;3;6;2003;A Day to Reember ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;A Day to Remember ;metal
20280551;2;29;11;1985;Deorro ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Deorro ;punk rock
20894131;3;28;8;1983;Turnstile ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Turnstile ;electropop
17477425;4;21;10;2010;Marina ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Marina ;metal
19893213;3;10;6;1985;Goldfish ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Goldfish ;metal
22688864;9;20;5;1999;Tiago PZK ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Tiago PZK ;metal
23618131;1;25;9;1986;Beto Cuevas ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Beto Cuevas ;Rock alternativo
22831355;9;24;5;1999;PAblo Chill-E ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;PAblo Chill-E ;metal
19733562;9;28;11;1991;Rawayana ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Rawayana ;electropop
17827902;8;4;4;2002;Javiera Mena ;;;Parque Bicentenario;0;CERRILLOS;19;3;2022;Javiera Mena ;Rock alternativo
